"last_name, first_name","pitcher","n_ff","n_si","n_fc","n_sl","n_ch","n_cu","n_fs","n_kn","n_st","n_sv"
"Hendricks, Kyle","543294","18.0","42.6","","","27.7","11.7","","","",""
"McCullers Jr., Lance","621121","","34.0","1.4","","13.7","25.0","","","25.9",""
"Márquez, Germán","608566","45.5","7.4","","26.5","2.1","18.5","","","",""
"Urías, Julio","628711","48.3","0.1","","","17.3","","","","","34.2"
"Darvish, Yu","506433","22.1","8.3","2.5","31.0","","8.5","4.9","","22.8",""
"Corbin, Patrick","571578","27.6","28.7","","38.4","4.2","1.0","","","",""
"Pivetta, Nick","601713","51.8","0.1","1.1","20.5","2.7","23.8","","","0.0",""
"Stroman, Marcus","573186","2.6","42.0","15.4","1.6","","0.4","16.1","","","21.9"
"Keuchel, Dallas","572971","2.1","37.9","24.4","7.0","28.6","","","","",""
"Rodriguez, Eduardo","593958","39.9","11.3","17.7","8.1","23.0","","","","",""
"Ryu, Hyun Jin","547943","35.2","1.4","25.4","0.4","25.3","12.3","","","",""
"Irvin, Cole","608344","41.1","18.7","0.1","15.0","21.9","3.1","","","",""
"Happ, J.A.","457918","54.0","17.7","","15.1","12.0","1.3","","","",""
"Minor, Mike","501985","42.8","0.2","","21.9","19.5","15.7","","","",""
"Anderson, Tyler","542881","37.3","10.3","26.2","0.9","24.6","0.7","","","",""
"Burnes, Corbin","669203","1.2","9.6","52.3","9.3","9.5","18.1","","","",""
"Miley, Wade","489119","16.0","1.2","46.8","5.3","27.1","3.6","","","",""
"Davies, Zach","605200","4.7","47.7","7.5","0.6","32.5","6.9","","","0.0",""
"Montgomery, Jordan","656756","16.5","22.1","12.9","0.5","24.4","23.6","","","",""
"Greinke, Zack","425844","40.0","5.8","2.1","13.2","22.2","16.7","","","",""
"Kikuchi, Yusei","579328","35.9","","32.1","20.4","10.8","0.9","","","",""
"Fried, Max","608331","38.2","11.4","0.1","21.5","2.2","25.6","","","1.1",""
"DeSclafani, Anthony","543101","27.1","18.6","","35.7","10.5","8.2","","","",""
"Matz, Steven","571927","","51.9","","8.2","23.2","16.6","","","",""
"Walker, Taijuan","592836","35.5","21.6","0.7","20.4","","7.3","14.3","","0.2",""
"Skubal, Tarik","669373","42.9","12.9","0.3","22.8","12.0","6.9","2.3","","",""
"Gray, Jon","592351","46.6","1.0","","38.1","8.0","6.3","","","",""
"Lynn, Lance","458681","41.4","20.2","30.9","0.1","4.5","3.0","","","",""
"Garcia, Luis","677651","44.7","","21.4","1.3","11.0","9.4","","","12.2",""
"Hill, Rich","448179","47.1","2.4","2.8","0.5","3.0","37.8","","","6.5",""
"Yarbrough, Ryan","642232","13.8","","40.2","","28.0","","","","18.0",""
"Kelly, Merrill","518876","32.0","18.4","14.1","","17.4","18.1","","","",""
"Fedde, Erick","607200","1.2","42.2","22.9","","8.9","18.2","1.3","","5.2",""
"Senzatela, Antonio","622608","54.6","1.6","","31.9","6.2","5.8","","","",""
"Bassitt, Chris","605135","19.2","35.7","18.1","2.4","10.2","6.5","","","7.9",""
"Lester, Jon","452657","31.1","16.7","25.5","","18.2","8.4","","","",""
"Taillon, Jameson","592791","49.7","5.6","5.7","14.1","5.7","19.1","","","0.0",""
"Mize, Casey","663554","29.7","22.2","","28.1","","6.7","13.3","","",""
"Peralta, Freddy","642547","51.7","1.3","","","9.7","10.6","","","26.7",""
"Houser, Adrian","605288","13.4","54.0","","7.3","10.9","14.4","","","",""
"Keller, Brad","641745","29.6","29.0","","34.8","6.5","","","","",""
"Snell, Blake","605483","52.4","","","24.2","9.9","13.5","","","",""
"Richards, Garrett","572070","53.0","0.6","","27.4","6.9","12.2","","","",""
"Means, John","607644","47.9","","","8.4","27.2","16.4","","","","0.0"
"Gonzales, Marco","594835","50.3","","14.3","","20.1","15.4","","","",""
"Bumgarner, Madison","518516","33.1","3.2","34.2","","7.8","21.7","","","",""
"Singer, Brady","663903","0.3","57.7","","38.2","3.8","","","","",""
"Quantrill, Cal","615698","14.0","37.2","25.9","4.7","13.8","4.2","0.2","","",""
"Heaney, Andrew","571760","59.4","","","3.6","18.0","19.0","","","",""
"Foltynewicz, Mike","592314","29.6","21.6","","23.7","12.7","12.5","","","",""
"Harvey, Matt","518774","34.1","20.8","","19.3","11.9","14.0","","","",""
"Gray, Sonny","543243","23.8","29.1","0.5","4.8","3.3","23.2","","","15.3",""
"Rodón, Carlos","607074","58.7","","","27.2","12.4","1.7","","","",""
"Webb, Logan","657277","9.8","37.8","1.1","","23.6","","","","27.7",""
"Plesac, Zach","668676","42.3","","","23.4","23.7","10.6","","","",""
"Bubic, Kris","663460","52.0","","","","30.8","17.2","","","",""
"Wood, Alex","622072","","46.4","","31.6","22.0","","","","",""
"Anderson, Ian","666120","47.2","0.2","","","31.4","19.6","","","1.5",""
"Crowe, Wil","640444","34.8","11.9","","24.6","18.2","10.5","","","0.1",""
"Rogers, Trevor","669432","57.7","","14.6","","27.4","","","","0.2",""
"López, Jorge","605347","21.1","35.9","","5.6","13.8","23.7","","","",""
"Smyly, Drew","592767","","46.5","11.5","","","42.0","","","",""
"Gilbert, Logan","669302","60.8","0.7","0.6","22.1","6.4","7.3","2.1","","",""
"Gallen, Zac","668678","53.8","0.4","8.4","8.3","16.7","12.5","","","",""
"Valdez, Framber","664285","5.0","52.1","","","12.1","30.8","","","",""
"Smith, Caleb","592761","48.1","","","29.6","14.7","7.5","","","",""
"Allard, Kolby","663465","48.0","0.3","23.8","","16.8","11.1","","","",""
"Ohtani, Shohei","660271","43.9","","12.3","0.3","","3.4","18.0","","22.1",""
"Kaprielian, James","621076","52.9","6.0","","17.4","15.8","7.9","","","",""
"Gant, John","607231","13.3","35.9","19.7","3.0","22.5","5.6","","","",""
"McKenzie, Triston","663474","61.7","","","19.1","1.1","18.0","","","",""
"Wacha, Michael","608379","35.8","4.0","24.9","","29.1","6.3","","","",""
"Lauer, Eric","641778","43.9","","18.3","12.1","11.3","14.5","","","",""
"Alzolay, Adbert","640470","18.5","27.0","6.5","39.6","7.0","1.1","","","0.3",""
"McClanahan, Shane","663556","40.9","","","33.8","8.0","17.3","","","",""
"Brubaker, JT","664141","24.4","24.7","","34.2","6.3","10.4","","","",""
"Mills, Alec","621219","17.3","42.9","","12.6","16.8","10.4","","","",""
"Dunning, Dane","641540","0.6","52.1","7.5","22.2","13.0","4.6","","","",""
"Civale, Aaron","650644","22.4","10.5","25.9","9.4","","16.2","13.5","","2.0",""
"Freeland, Kyle","607536","25.5","15.1","22.8","","16.8","19.9","","","",""
"Cueto, Johnny","456501","36.0","15.4","1.5","21.7","23.6","1.7","","","",""
"Paddack, Chris","663978","61.5","","","","26.2","12.3","","","",""
"Pérez, Martín","527048","13.1","25.3","29.0","","24.2","8.4","","","",""
"Keller, Mitch","656605","56.6","","24.2","","4.7","14.5","","","",""
"Gomber, Austin","596295","40.7","","","24.3","19.4","15.6","","","",""
"Odorizzi, Jake","543606","55.1","0.2","11.0","6.6","","5.2","22.0","","",""
"Manoah, Alek","666201","36.2","26.9","","27.8","9.2","","","","",""
"Gutierrez, Vladimir","661269","47.2","0.2","","22.8","12.2","17.6","","","",""
"Kershaw, Clayton","477132","36.8","","","47.5","0.6","15.1","","","",""
"Javier, Cristian","664299","59.4","","","0.9","5.9","7.9","","","25.9",""
"Bauer, Trevor","545333","40.1","5.9","21.6","","2.6","11.2","","","18.6",""
"Kim, Kwang Hyun","547942","41.0","0.8","","37.6","11.8","8.9","","","",""
"Maeda, Kenta","628317","25.9","5.3","","36.1","","3.6","28.5","","0.6",""
"Akin, Keegan","669211","57.2","","","20.0","19.5","3.3","","","",""
"Velasquez, Vince","592826","49.9","4.5","","13.8","15.3","16.6","","","",""
"Arrieta, Jake","453562","","52.7","","23.8","8.1","15.4","","","",""
"Espino, Paolo","502179","55.2","0.1","","0.3","4.0","24.2","","","16.1",""
"Luzardo, Jesús","666200","33.4","17.8","","28.8","20.0","","","","",""
"Hearn, Taylor","621368","46.3","21.0","0.2","19.9","12.6","","","","",""
"Pineda, Michael","501381","54.2","","","28.9","16.9","","","","",""
"Ross, Joe","605452","16.0","46.6","","31.3","6.1","","","","",""
"Ureña, José","570632","16.2","47.2","","23.0","13.6","","","","",""
"Stripling, Ross","548389","51.0","","","18.4","15.2","15.4","","","",""
"López, Pablo","641154","33.8","12.6","11.4","","32.5","9.4","","","0.2",""
"Alexander, Tyler","641302","15.2","20.6","36.5","9.3","18.4","0.1","","","",""
"González, Chi Chi","592346","46.6","5.6","8.9","24.2","9.7","5.0","","","",""
"Urquidy, José","664353","54.9","","","","18.2","7.4","","","19.5",""
"Fleming, Josh","676596","0.5","45.7","27.0","","22.0","4.7","","","",""
"Weathers, Ryan","677960","57.8","4.1","","28.6","8.3","","","","1.2",""
"Eflin, Zach","621107","12.4","41.6","0.4","24.1","10.7","10.8","","","",""
"Suarez, Ranger","624133","22.6","46.1","0.9","6.9","23.5","","","","",""
"Cobb, Alex","502171","4.3","42.3","","0.4","","15.9","37.1","","",""
"Germán, Domingo","593334","28.7","15.0","","","22.2","34.0","","","",""
"Suarez, José","660761","40.7","7.0","","","28.6","22.3","","","1.4",""
"Bieber, Shane","669456","35.5","","3.5","25.5","4.4","31.1","","","",""
"Peralta, Wily","503449","26.1","29.1","","22.3","","","22.5","","",""
"Megill, Tylor","656731","57.6","","","18.7","20.9","2.8","","","",""
"Williams, Trevor","592866","48.4","12.0","","20.6","10.0","9.0","","","",""
"Cortes, Nestor","641482","42.8","4.0","23.5","0.3","9.6","","","","19.8",""
"Bundy, Dylan","605164","34.2","17.3","","21.2","13.7","13.7","","","",""
"Anderson, Brett","474463","0.7","45.0","8.2","7.6","25.7","12.9","","","",""
"Ynoa, Huascar","660623","44.7","0.5","","48.2","6.6","","","","",""
"Ober, Bailey","641927","58.0","","","9.2","13.0","10.6","","","9.1",""
"Sheffield, Justus","656954","0.7","46.3","","32.1","20.8","","","","",""
"Sandoval, Patrick","663776","24.5","18.5","","17.0","29.6","10.1","","","0.3",""
"Kuhl, Chad","641771","25.4","13.0","0.4","45.7","4.3","11.1","","","0.1",""
"Hernández, Carlos","672578","55.8","","","16.2","","18.5","9.4","","",""
"Manning, Matt","666159","41.7","19.1","","15.1","12.5","11.3","0.3","","",""
"Morgan, Eli","669212","48.7","","0.9","23.5","23.2","3.7","","","",""
"Jax, Griffin","643377","42.0","0.2","0.4","","14.2","12.0","","","31.1",""
"Stratton, Chris","608717","48.1","1.0","","13.7","11.9","25.3","","","0.1",""
"Shaw, Bryan","543766","0.3","1.5","77.5","","4.2","5.8","","","10.7",""
"Patiño, Luis","672715","60.6","3.2","","26.5","5.0","4.8","","","",""
"Hoffman, Jeff","656546","55.7","","","21.3","","10.5","12.4","","",""
"Flaherty, Jack","656427","50.6","6.2","","28.3","1.8","13.1","","","",""
"Glasnow, Tyler","607192","51.6","","","32.3","2.5","13.5","","","",""
"Kluber, Corey","446372","4.6","25.1","27.2","","13.8","29.4","","","",""
"Crismatt, Nabil","622503","13.4","11.7","","0.1","51.2","23.6","","","",""
"Peacock, Matt","676840","0.2","68.2","","24.5","7.2","","","","",""
"Green, Chad","643338","65.0","0.5","","0.5","","16.3","","","17.6",""
"Stammen, Craig","489334","0.7","47.6","21.7","0.2","0.5","29.4","","","",""
"Martinez, Carlos","593372","27.5","13.8","21.3","22.8","13.5","1.1","","","",""
"Boyd, Matthew","571510","42.0","5.5","","22.4","22.5","7.6","","","",""
"Hentges, Sam","656529","41.3","9.3","","24.0","0.5","24.9","","","",""
"Lynch IV, Daniel","663738","40.5","11.9","","28.6","16.3","2.7","","","",""
"Moore, Matt","519043","56.4","","8.9","","19.4","15.3","","","",""
"Reyes, Alex","621052","30.7","23.9","","28.0","9.0","8.4","","","",""
"Neris, Héctor","593576","35.9","20.0","","3.5","","","40.6","","",""
"Luetge, Lucas","476595","0.1","","63.1","20.6","","15.2","","","1.0",""
"Quintana, Jose","500779","40.8","17.8","","","14.6","14.4","","","","12.4"
"Gallegos, Giovanny","606149","52.8","","","42.6","4.6","","","","",""
"Mayers, Mike","594577","38.3","0.1","29.9","31.4","0.2","0.1","","","",""
"Cishek, Steve","518553","19.4","41.3","","39.0","0.2","","","","",""
"Castro, Miguel","612434","","43.2","","35.2","21.7","","","","",""
"deGrom, Jacob","594798","57.4","","","33.4","8.9","0.3","","","",""
"Guerra, Junior","448855","17.6","38.4","","12.3","","15.8","15.8","","",""
"Barlow, Scott","605130","33.1","0.2","","46.4","","20.3","","","",""
"Suter, Brent","608718","72.3","4.3","","9.7","9.5","4.1","","","",""
"Widener, Taylor","642203","66.5","","0.1","17.3","16.0","0.1","","","",""
"Bard, Daniel","453268","33.2","15.5","","46.1","5.2","","","","",""
"Gray, Josiah","680686","51.6","","","20.0","3.3","25.1","","","",""
"Stephan, Trevor","663986","59.8","","","32.1","","","8.1","","",""
"Finnegan, Kyle","640448","68.4","","","18.9","","","12.2","","0.6",""
"Rasmussen, Drew","656876","63.8","1.3","4.7","22.6","2.2","2.7","","","2.6",""
"Cabrera, Génesis","650893","45.1","19.1","","","16.9","18.9","","","",""
"Thompson, Zach","605507","27.1","8.2","35.1","","12.7","16.9","","","",""
"Funkhouser, Kyle","608335","21.8","40.3","","30.2","7.7","","","","",""
"Robles, Hansel","570663","54.4","1.4","","14.4","29.7","0.1","","","",""
"Fulmer, Michael","605242","17.7","28.1","39.8","","11.2","3.0","","","0.2",""
"Price, David","456034","18.4","34.6","20.2","","24.9","2.0","","","",""
"Underwood Jr., Duane","621249","36.0","10.2","0.8","0.8","27.3","24.9","","","",""
"Trivino III, Lou","642152","26.4","32.7","17.0","","12.4","11.5","","","",""
"Maton, Phil","664208","47.8","","8.5","14.3","","24.2","","","5.2",""
"Stanek, Ryne","592773","59.6","0.1","","18.5","","","21.8","","",""
"Woodford, Jake","663765","21.5","37.0","0.5","3.9","6.0","12.5","","","18.6",""
"Whitlock, Garrett","676477","8.3","54.5","1.4","14.1","20.6","","","","1.0",""
"Houck, Tanner","656557","38.6","17.0","","37.1","","","7.4","","",""
"Ottavino, Adam","493603","20.7","27.5","1.7","","1.7","0.7","","","47.8",""
"Kinley, Tyler","641755","43.1","0.3","","52.2","4.0","0.4","","","",""
"Wilson, Bryse","669060","44.4","19.3","","5.0","19.8","11.5","","","",""
"Soto, Gregory","642397","7.8","54.6","","37.6","","","","","",""
"Rogers, Tyler","643511","3.7","53.5","","42.8","","","","","",""
"Kopech, Michael","656629","64.4","","","29.6","2.6","3.5","","","",""
"Holmes, Clay","605280","0.1","58.9","","27.8","","12.1","","","1.1",""
"Peterson, David","656849","29.4","29.2","","23.1","16.3","2.0","","","",""
"Diekman, Jake","518617","58.8","8.1","","","0.7","","","","32.4",""
"May, Trevor","543507","60.3","","","24.5","15.2","","","","",""
"Weaver, Luke","596133","61.2","0.2","0.6","6.0","30.0","1.9","","","",""
"Thielbar, Caleb","573204","49.0","","","","0.3","16.4","","","34.4",""
"Brentz, Jake","641394","58.6","0.9","","27.9","12.7","","","","",""
"Zimmermann, Bruce","669145","41.2","1.1","","19.5","25.8","12.4","","","",""
"Hendriks, Liam","521230","68.9","","","21.3","0.1","9.7","","","",""
"Sewald, Paul","623149","58.3","","","","0.1","","","","41.6",""
"Colomé, Alex","517008","29.5","","70.0","","0.5","","","","",""
"Pagán, Emilio","641941","61.2","","37.7","","0.7","","0.4","","",""
"Staumont, Josh","622251","44.0","21.4","","","","34.7","","","",""
"Treinen, Blake","595014","7.6","27.3","30.0","0.4","0.1","","","","34.7",""
"Hembree, Heath","592390","52.3","","","47.2","","0.5","","","",""
"Oviedo, Johan","670912","51.3","","","24.8","10.8","13.2","","","",""
"Guerra, Deolis","500610","37.7","7.8","","14.2","30.9","9.4","","","",""
"Loáisiga, Jonathan","642528","3.9","54.9","","2.4","18.4","20.4","","","",""
"Petit, Yusmeiro","433589","45.9","","22.8","","17.7","13.6","","","",""
"Sborz, Josh","622250","54.5","","","29.4","","16.1","","","",""
"Smith, Will","519293","47.3","","","41.7","","11.0","","","",""
"Canning, Griffin","656288","40.4","","0.1","27.0","21.4","11.1","","","",""
"Hand, Brad","543272","41.3","16.2","","","","","","","42.6",""
"Floro, Dylan","571670","30.8","33.9","","13.1","22.2","","","","",""
"Boxberger, Brad","502202","56.1","","","23.7","20.2","","","","",""
"Jansen, Kenley","445276","","26.0","58.6","15.4","","","","","",""
"Smith, Riley","642092","0.5","57.3","10.0","4.5","17.0","10.7","","","",""
"Sulser, Cole","642121","51.1","","","13.5","33.2","2.2","","","",""
"Chacín, Jhoulys","468504","8.7","32.3","20.3","","3.6","35.1","","","",""
"Cisnero, José","542585","41.0","25.1","15.9","12.1","5.9","","","","",""
"Matzek, Tyler","554431","70.7","","","27.1","","2.2","","","",""
"Shoemaker, Matt","533167","24.4","16.5","","24.5","","1.2","33.3","","",""
"Santana, Ervin","429722","45.2","","","51.6","3.3","","","","",""
"Richards, Trevor","670950","56.7","","","13.8","29.5","","","","",""
"Iglesias, Raisel","628452","35.1","9.4","","30.8","24.6","","","","",""
"Jackson, Luke","592426","35.6","","","51.6","","12.8","","","",""
"Melancon, Mark","453343","2.8","","62.6","0.1","","34.4","0.2","","",""
"Duffey, Tyler","608648","44.6","4.2","","0.1","","51.1","","","",""
"Heuer, Codi","676051","56.1","0.1","","23.2","20.7","","","","",""
"Alvarado, José","621237","3.2","77.2","16.3","","","3.3","","","",""
"Johnson, Pierce","572955","32.5","","","","","67.5","","","",""
"Romo, Sergio","489265","1.9","31.4","","55.7","10.9","","","","",""
"Tate, Dillon","622253","1.6","58.9","23.0","","15.8","","","","0.6",""
"Clase, Emmanuel","661403","0.9","","69.4","29.8","","","","","",""
"Ruiz, José","614179","59.0","0.5","","2.2","3.7","34.6","","","",""
"Scott, Tanner","656945","45.4","3.0","","51.6","","","","","",""
"Romano, Jordan","605447","62.3","1.0","","36.8","","","","","",""
"Cimber, Adam","643256","32.1","35.9","","32.0","","","","","",""
"Voth, Austin","608723","59.5","","13.6","","","26.6","0.3","","",""
"Wittgren, Nick","621295","56.0","0.6","9.7","10.6","23.1","","","","",""
"Familia, Jeurys","544727","14.5","59.2","","23.4","","","2.9","","",""
"Plutko, Adam","592644","49.9","","33.0","10.2","","6.9","","","",""
"King, Michael","650633","8.8","53.0","15.2","","12.5","0.3","","","10.2",""
"Duffy, Danny","518633","42.8","12.8","","18.2","15.4","10.8","","","",""
"Steckenrider, Drew","608716","65.9","","","","15.9","18.3","","","",""
"Karinchak, James","675916","68.1","","","","","31.9","","","",""
"Estévez, Carlos","608032","65.8","","","14.8","19.3","0.1","","","",""
"Chapman, Aroldis","547973","56.6","5.7","","26.7","","","11.1","","",""
"García, Jarlín","606424","48.9","1.1","","25.4","24.6","","","","",""
"Díaz, Edwin","621242","61.6","0.6","","37.8","","","","","",""
"Brothers, Rex","571521","65.5","","","34.5","","","","","",""
"Holland, Greg","518813","40.3","","","48.3","","11.3","","","",""
"Littell, Zack","641793","57.6","0.2","","37.2","","","5.0","","",""
"Williams, Devin","642207","34.7","","","1.4","63.8","","","","",""
"Gonsolin, Tony","664062","43.5","","","26.0","","8.8","21.7","","",""
"Norris, Daniel","596057","47.5","","","22.7","29.9","","","","",""
"Feyereisen, J.P.","656420","51.5","0.1","","28.6","19.9","","","","",""
"Kimbrel, Craig","518886","59.3","","","","","40.7","","","",""
"Kremer, Dean","665152","54.6","1.2","20.7","","6.3","15.8","1.4","","",""
"Mejía, J.C.","650496","16.1","42.2","","23.7","11.5","6.5","","","",""
"Kittredge, Andrew","552640","10.5","44.0","","45.2","0.3","","","","",""
"Strickland, Hunter","519326","51.3","5.8","","40.8","2.0","","","","",""
"Bender, Anthony","669622","1.2","51.8","","38.3","0.7","","","","7.9",""
"McHugh, Collin","543521","10.8","","33.1","","0.1","3.1","","","52.9",""
"Alvarez, Jose","501625","12.5","45.6","3.6","10.3","28.0","","","","",""
"Thompson, Keegan","624522","46.2","1.4","27.2","0.2","2.2","22.6","","","0.2",""
"Hader, Josh","623352","0.1","65.4","","27.8","6.7","","","","",""
"Steele, Justin","657006","45.2","20.6","","16.5","2.1","15.6","","","",""
"Adams, Austin","613534","12.2","0.7","","87.1","","","","","",""
"Hill, Tim","657612","51.7","32.8","0.6","14.7","0.2","","","","",""
"Watkins, Spenser","657093","46.6","0.3","30.9","0.3","5.7","15.8","0.3","","",""
"Bass, Anthony","542914","8.1","41.2","","49.9","","","0.7","","",""
"Pressly, Ryan","519151","39.5","0.2","","35.8","","24.5","","","",""
"Bummer, Aaron","607481","0.1","61.9","7.8","","0.6","","","","29.6",""
"Cessa, Luis","570666","21.1","10.2","0.1","56.7","11.9","","","","",""
"Tepera, Ryan","572193","33.3","10.8","","44.9","10.4","0.5","","","",""
"Chafin, Andrew","605177","29.8","43.7","","26.4","0.1","","","","",""
"Sawamura, Hirokazu","617228","45.4","","","15.1","","","39.4","","",""
"Rodríguez, Richard","593144","86.1","","","13.9","","","","","",""
"García, Yimi","554340","39.1","6.3","","29.7","6.4","18.5","","","0.1",""
"López, Reynaldo","625643","57.9","","","33.8","3.7","4.6","","","",""
"Pop, Zach","647315","1.4","66.3","0.7","31.5","","","","","",""
"Howard, Spencer","675921","59.7","4.0","12.0","3.6","9.0","8.3","","","3.4",""
"Castillo, Diego","650895","4.0","29.6","","66.5","","","","","",""
"Shreve, Chasen","592741","40.2","","","22.2","","","36.9","","0.6",""
"Bednar, David","670280","55.8","","","","","23.6","20.7","","",""
"Zimmer, Kyle","622092","50.4","0.3","","36.8","2.2","10.2","","","",""
"Brogdon, Connor","641401","44.9","0.3","19.2","","35.6","","","","",""
"Bradley, Archie","605151","47.1","23.6","","","13.8","15.5","","","",""
"Barnes, Matt","598264","49.8","","","","1.7","48.4","","","",""
"Martin, Brett","656685","24.1","30.3","","24.5","","21.1","","","",""
"Barria, Jaime","642545","36.3","18.9","","36.4","8.4","","","","",""
"Crochet, Garrett","676979","64.2","","","3.2","8.0","","","","24.7",""
"Young, Alex","622065","13.9","25.3","22.6","","19.2","19.0","","","",""
"de Geus, Brett","676969","0.5","55.1","24.8","","0.4","19.1","","","",""
"Thornton, Trent","663423","38.9","0.7","21.0","8.1","6.3","25.1","","","",""
"Santana, Dennis","642701","6.1","42.1","0.6","28.2","20.6","2.5","","","",""
"Kennedy, Ian","453178","82.5","","1.2","2.6","8.0","5.1","0.6","","",""
"Misiewicz, Anthony","664948","35.6","","33.8","0.2","","30.4","","","",""
"Wells, Tyler","669330","58.6","","27.0","","10.4","4.0","","","",""
"Carrasco, Carlos","471911","39.9","10.7","","19.9","24.6","4.8","","","",""
"Detwiler, Ross","446321","33.9","17.3","36.8","","4.4","7.5","","","",""
"McGee, Jake","459429","90.1","","","9.9","","","","","",""
"Minter, A.J.","621345","42.5","","44.2","","13.4","","","","",""
"Chargois, JT","608638","4.8","35.5","","59.7","","","","","",""
"Allen, Logan","663531","41.9","1.5","0.5","2.3","16.1","8.8","","","28.9",""
"Givens, Mychal","571710","46.7","0.1","","15.7","37.5","","","","",""
"Fry, Paul","643316","54.5","","","45.0","0.6","","","","",""
"Montero, Rafael","606160","35.4","25.9","","19.5","19.2","","","","",""
"Graveman, Kendall","608665","8.5","63.0","","17.6","6.9","4.0","","","",""
"Almonte, Yency","622075","45.1","3.7","","22.4","10.2","","","","18.6",""
"Dunn, Justin","643290","51.7","","","14.8","1.3","32.2","","","",""
"Alcala, Jorge","660896","37.6","6.1","","40.7","15.5","","","","",""
"Jiménez, Joe","641729","54.0","","","32.9","13.0","","","","",""
"Watson, Tony","453265","25.1","17.6","","24.1","33.3","","","","",""
"Doolittle, Sean","448281","81.1","","","5.4","","9.0","4.5","","",""
"Raley, Brooks","548384","7.1","15.1","32.4","","3.8","12.7","","","28.9",""
"Hudson, Daniel","543339","67.7","0.7","","28.8","2.8","","","","",""
"Andriese, Matt","542882","43.9","4.4","5.1","","33.9","12.6","","","",""
"Anderson, Chase","502624","32.9","6.2","18.1","4.3","29.5","9.0","","","",""
"Leone, Dominic","608678","47.4","1.4","23.6","27.6","","","","","",""
"Howard, Sam","607572","43.3","","","55.0","1.8","","","","",""
"Mayza, Tim","641835","0.1","71.5","","28.4","","","","","",""
"Bielak, Brandon","656232","40.0","15.9","5.3","6.1","11.5","10.4","","","10.8",""
"Holland, Derek","502706","9.8","46.8","","","9.6","33.8","","","",""
"Loup, Aaron","571901","","51.9","32.9","","8.6","6.6","","","",""
"Lamet, Dinelson","659275","44.4","3.4","","50.5","1.8","","","","",""
"Garrett, Amir","607237","46.6","2.3","","51.1","","","","","",""
"Payamps, Joel","606303","41.1","19.5","","0.2","9.7","","","","29.5",""
"Toussaint, Touki","657053","3.9","47.7","","","","27.2","21.2","","",""
"Hernández, Elieser","622694","51.5","1.8","","34.5","12.2","","","","",""
"Sims, Lucas","608371","41.2","","","34.5","0.4","23.9","","","",""
"Tomlin, Josh","458708","22.5","","47.2","","1.5","28.8","","","",""
"Helsley, Ryan","664854","54.0","1.7","","34.7","2.7","6.8","","","",""
"Clay, Sam","621348","","66.0","","24.4","9.6","","","","",""
"LeBlanc, Wade","453281","15.0","23.9","28.0","","22.3","10.8","","","",""
"Taylor, Josh","657031","37.2","11.9","","46.0","","4.9","","","",""
"Winkler, Dan","595465","19.9","6.4","66.6","","","7.1","","","",""
"Wisler, Matt","605538","9.1","","","90.9","","","","","",""
"Peralta, Wandy","593974","15.0","22.5","","14.3","48.1","","","","",""
"Bickford, Phil","641360","64.2","0.1","","35.3","0.4","","","","",""
"Turnbull, Spencer","605513","38.6","21.9","","24.5","7.5","7.5","","","",""
"De Jong, Chase","608328","48.8","0.3","","22.7","4.6","23.6","","","",""
"Fairbanks, Pete","664126","57.6","","","42.1","0.3","","","","",""
"Davis, Wade","451584","40.3","6.5","32.0","","1.6","19.6","","","",""
