pitcher,player_name,pitch_type,grp,n,act_miss,pred_miss,grade,g2080
656730,"Megill, Trevor",KC,breaking,115,3.43,4.63,150.1,80
666277,"Soriano, George",ST,breaking,33,2.81,4.11,143.4,80
682254,"Montgomery, Mason",CU,breaking,51,2.06,3.97,141.6,80
623352,"Hader, Josh",SL,breaking,68,3.35,3.96,141.5,80
518585,"Cruz, Fernando",FS,offspeed,208,4.33,3.92,141,80
669062,"Miller, Erik",SL,breaking,110,2.83,3.78,139.2,80
695243,"Miller, Mason",SL,breaking,161,6.04,3.78,139.1,80
656546,"Hoffman, Jeff",SL,breaking,162,3.06,3.64,137.4,80
669093,"Estrada, Jeremiah",FS,offspeed,43,3.22,3.55,136.2,80
686790,"McDonald, Trevor",SL,breaking,122,2.13,3.53,135.9,80
676879,"Ashby, Aaron",SL,breaking,63,5.7,3.5,135.5,80
683003,"Jones, Jared",CU,breaking,29,2.44,3.39,134.2,80
691799,"Taylor, Grant",SL,breaking,61,1.58,3.32,133.2,78
678020,"Halvorsen, Seth",SL,breaking,47,2.41,3.11,130.5,75
666374,"Brash, Matt",SL,breaking,61,1.38,3.07,130,74
573009,"Mantiply, Joe",CU,breaking,34,1.53,3.02,129.4,76
667755,"Soriano, José",KC,breaking,229,3.48,3.01,129.3,65
673540,"Senga, Kodai",SL,breaking,43,2.66,2.99,129,73
665660,"Alvarado, Elvis",SL,breaking,68,2.07,2.98,128.9,73
673540,"Senga, Kodai",FO,offspeed,83,2.74,2.86,127.3,57
676974,"Meyer, Max",ST,breaking,253,1.26,2.86,127.3,77
669358,"Baz, Shane",KC,breaking,329,1.29,2.83,127,63
683004,"Leiter, Jack",CU,breaking,39,2.87,2.83,126.9,73
594580,"Moll, Sam",ST,breaking,111,2.68,2.82,126.8,76
694361,"Klein, Will",ST,breaking,108,1.19,2.81,126.6,76
696149,"Chandler, Bubba",ST,breaking,37,0.67,2.79,126.4,75
656849,"Peterson, David",CU,breaking,60,2.14,2.76,126,71
680916,"Aleman, Franco",SL,breaking,27,1.26,2.75,125.9,69
663855,"Hicks, Jordan",ST,breaking,66,4.39,2.74,125.8,74
680570,"Rodriguez, Grayson",CU,breaking,41,0.53,2.73,125.7,71
683618,"Henriquez, Edgardo",SL,breaking,59,2.13,2.72,125.5,69
677961,"Wilcox, Cole",SL,breaking,46,2.27,2.71,125.4,69
683000,"Cornelio, Riley",SL,breaking,88,4.16,2.71,125.4,69
661395,"Duran, Jhoan",KC,breaking,28,2.85,2.69,125.1,61
686799,"Kochanowicz, Jack",SL,breaking,52,1.44,2.69,125.1,68
674841,"Alvarez, Andrew",SL,breaking,121,1.73,2.68,125,68
691587,"Pérez, Eury",SL,breaking,120,1.69,2.67,124.9,68
680742,"Bowlan, Jonathan",SL,breaking,56,2.21,2.66,124.8,68
519242,"Sale, Chris",SL,breaking,337,2.58,2.66,124.7,68
691799,"Taylor, Grant",CU,breaking,82,2.43,2.66,124.7,70
668674,"Erceg, Lucas",SL,breaking,99,1.52,2.65,124.6,68
592094,"Adam, Jason",SL,breaking,117,2.07,2.62,124.2,67
687209,"Maxwell, Zach",ST,breaking,27,1.84,2.61,124.1,72
669160,"May, Dustin",CU,breaking,38,0.7,2.57,123.5,68
669302,"Gilbert, Logan",FS,offspeed,134,1.59,2.55,123.4,70
681870,"Sabrowski, Erik",CU,breaking,51,3.18,2.54,123.2,68
694819,"Misiorowski, Jacob",CU,breaking,82,2.42,2.53,123.1,68
676282,"Cantillo, Joey",CH,offspeed,242,2.18,2.53,123,80
666200,"Luzardo, Jesús",ST,breaking,320,2.78,2.52,122.9,70
696131,"Black, Mason",ST,breaking,34,0.18,2.52,122.9,70
664129,"Hartlieb, Geoff",SL,breaking,28,2.25,2.51,122.8,66
656302,"Cease, Dylan",CH,offspeed,81,2.93,2.5,122.7,80
660604,"Rangel, Alan",CH,offspeed,91,1.81,2.48,122.4,80
691587,"Pérez, Eury",ST,breaking,110,1.81,2.47,122.3,69
657097,"Webb, Jacob",SL,breaking,29,0.9,2.46,122.1,65
686973,"Varland, Louis",KC,breaking,125,1.81,2.46,122.1,58
676879,"Ashby, Aaron",CU,breaking,57,3.36,2.45,122,66
690925,"Beeter, Clayton",SL,breaking,124,1.93,2.44,121.9,65
663893,"Little, Brendon",KC,breaking,26,1.61,2.43,121.8,58
656638,"Lange, Alex",SL,breaking,135,1.59,2.42,121.7,64
669373,"Skubal, Tarik",CU,breaking,30,4.6,2.42,121.6,66
666142,"Ragans, Cole",SL,breaking,39,2.78,2.4,121.4,64
676974,"Meyer, Max",SL,breaking,225,1.24,2.39,121.2,64
666277,"Soriano, George",SL,breaking,85,1.82,2.38,121.1,64
669160,"May, Dustin",ST,breaking,152,1.14,2.37,121.1,68
656271,"Burke, Brock",SL,breaking,94,1.97,2.37,121,63
672335,"Pérez, Cionel",CU,breaking,57,1.52,2.36,120.9,65
682254,"Montgomery, Mason",SL,breaking,66,1.44,2.36,120.9,63
683232,"Mears, Nick",SL,breaking,46,1.29,2.34,120.7,63
669199,"Bachar, Lake",ST,breaking,79,2.76,2.34,120.6,67
676617,"O'Brien, Riley",ST,breaking,84,3.22,2.33,120.5,67
702070,"Cameron, Noah",CU,breaking,127,1.48,2.33,120.5,64
656550,"Holmes, Grant",CU,breaking,57,2.11,2.32,120.4,64
543243,"Gray, Sonny",ST,breaking,181,1.93,2.32,120.3,66
554430,"Wheeler, Zack",CU,breaking,59,1.92,2.31,120.3,64
688883,"Pallette, Peyton",SL,breaking,35,2.71,2.31,120.2,63
695076,"Lowder, Rhett",SL,breaking,180,1.38,2.31,120.2,63
605280,"Holmes, Clay",ST,breaking,59,1.97,2.3,120.1,66
694361,"Klein, Will",CU,breaking,32,2.43,2.29,119.9,64
668909,"Williams, Gavin",ST,breaking,282,2.51,2.28,119.8,66
690986,"Harrison, Kyle",SV,breaking,183,1.53,2.28,119.8,68
668390,"Winn, Cole",SL,breaking,73,2.11,2.27,119.7,62
595014,"Treinen, Blake",ST,breaking,67,2.66,2.26,119.6,65
670329,"Garcia, Rico",CU,breaking,55,1.66,2.26,119.6,63
696147,"Bachman, Sam",SL,breaking,182,2.43,2.26,119.6,62
664854,"Helsley, Ryan",SL,breaking,46,2.6,2.25,119.4,62
669276,"Lee, Dylan",SL,breaking,228,2.4,2.24,119.4,62
682842,"Uribe, Abner",SL,breaking,90,2.87,2.24,119.3,61
686580,"Slaten, Justin",ST,breaking,35,2.47,2.23,119.3,65
670062,"Garcia, Julian",ST,breaking,81,1.83,2.23,119.2,65
674841,"Alvarez, Andrew",CU,breaking,134,1.76,2.22,119.1,63
670950,"Richards, Trevor",CH,offspeed,94,3.48,2.21,119,80
607536,"Freeland, Kyle",KC,breaking,171,1.23,2.21,118.9,55
641941,"Pagán, Emilio",FS,offspeed,29,1.87,2.21,118.9,65
662253,"Muñoz, Andrés",SL,breaking,171,3.09,2.21,118.9,61
669456,"Bieber, Shane",SL,breaking,31,1.79,2.21,118.9,61
675911,"Strider, Spencer",SL,breaking,92,2.25,2.21,118.9,61
805427,"Sommers, Drew",SL,breaking,38,0.97,2.21,118.9,61
666157,"Lodolo, Nick",CU,breaking,110,2.24,2.19,118.7,62
671922,"Smith, Cade",FS,offspeed,98,1.81,2.19,118.7,64
642397,"Soto, Gregory",SL,breaking,98,2.49,2.18,118.5,60
660271,"Ohtani, Shohei",ST,breaking,173,2.2,2.17,118.5,64
690978,"Fulton, Dax",ST,breaking,35,1.69,2.18,118.5,64
701542,"Warren, Will",ST,breaking,130,1.23,2.17,118.4,63
547973,"Chapman, Aroldis",SL,breaking,43,2.33,2.16,118.3,60
666808,"Doval, Camilo",SL,breaking,85,2.22,2.16,118.3,60
677958,"Rocker, Kumar",SL,breaking,312,2.44,2.16,118.3,60
640454,"Krook, Matt",ST,breaking,36,3.32,2.16,118.2,63
676477,"Whitlock, Garrett",SL,breaking,89,2.6,2.16,118.2,60
668941,"Romero, JoJo",ST,breaking,102,1.62,2.14,118.1,63
670990,"Ramírez, Yohan",CU,breaking,49,1.26,2.15,118.1,61
700669,"Graceffo, Gordon",CU,breaking,32,0.24,2.13,118,61
702056,"Yesavage, Trey",FS,offspeed,193,2.7,2.13,118,63
608337,"Giolito, Lucas",CH,offspeed,85,1.3,2.12,117.8,77
670990,"Ramírez, Yohan",ST,breaking,146,2.07,2.12,117.7,62
678394,"Bello, Brayan",CU,breaking,27,1.58,2.11,117.7,61
676440,"Bibee, Tanner",CH,offspeed,125,1.22,2.11,117.6,77
667463,"King, John",ST,breaking,38,0.5,2.09,117.4,62
668964,"Myers, Tobias",FS,offspeed,81,1.6,2.09,117.4,63
682995,"Barco, Hunter",SL,breaking,27,0.59,2.09,117.4,59
683769,"Gaddis, Hunter",CH,offspeed,42,1.51,2.09,117.4,77
608566,"Márquez, Germán",KC,breaking,135,1.27,2.08,117.2,54
607192,"Glasnow, Tyler",KC,breaking,48,2.18,2.07,117.1,54
650556,"Abreu, Bryan",SL,breaking,136,2.04,2.07,117.1,59
656848,"Petersen, Michael",SL,breaking,84,1.56,2.07,117.1,59
680767,"Vodnik, Victor",SL,breaking,69,1.19,2.07,117.1,59
687570,"Prielipp, Connor",CU,breaking,79,1.43,2.06,117,60
689254,"Fluharty, Mason",ST,breaking,150,1,2.06,117,61
694037,"Palencia, Daniel",SL,breaking,30,2.24,2.06,117,59
676684,"Vest, Will",SL,breaking,65,1.31,2.05,116.9,59
641329,"Baker, Bryan",CH,offspeed,157,1,2.05,116.8,75
669923,"Kirby, George",ST,breaking,267,1.08,2.04,116.8,61
643377,"Jax, Griffin",CU,breaking,39,1.42,2.03,116.6,59
665795,"Cabrera, Edward",CU,breaking,83,1.22,2.02,116.5,59
667755,"Soriano, José",SL,breaking,36,0.94,2.02,116.5,58
668933,"Ashcraft, Graham",SL,breaking,97,2.21,2.02,116.5,58
681810,"Warren, Austin",CU,breaking,35,0.68,2.02,116.5,59
813349,"Early, Connelly",ST,breaking,57,2.36,2.02,116.5,61
592332,"Gausman, Kevin",SL,breaking,82,1.94,2.02,116.4,58
694819,"Misiorowski, Jacob",SL,breaking,105,1.29,2.01,116.4,58
606303,"Payamps, Joel",ST,breaking,30,0.42,2,116.3,60
699134,"Rodriguez, Bradgley",SL,breaking,28,1.26,2,116.3,58
642701,"Santana, Dennis",SL,breaking,121,1.65,1.99,116.2,58
669194,"Nelson, Ryne",CU,breaking,42,0.81,1.99,116.2,59
656550,"Holmes, Grant",SL,breaking,314,2.27,1.99,116.1,58
681870,"Sabrowski, Erik",SL,breaking,35,2.12,1.99,116.1,58
693645,"Schlittler, Cam",CU,breaking,72,1.97,1.99,116.1,59
683003,"Jones, Jared",SL,breaking,132,1.23,1.98,116,57
592773,"Stanek, Ryne",SL,breaking,73,2.1,1.97,115.9,57
680730,"Parker, Mitchell",SL,breaking,172,1.47,1.98,115.9,57
669020,"Rolison, Ryan",ST,breaking,37,1.5,1.96,115.8,60
669084,"Hall, DL",ST,breaking,27,5.3,1.97,115.8,60
669302,"Gilbert, Logan",CH,offspeed,51,1.22,1.96,115.8,73
669373,"Skubal, Tarik",CH,offspeed,217,2.63,1.96,115.7,73
677865,"Bruihl, Justin",ST,breaking,144,0.66,1.96,115.7,59
657746,"Ryan, Joe",KC,breaking,114,1.21,1.95,115.6,52
663969,"Phillips, Tyler",CU,breaking,108,2.75,1.95,115.6,58
669372,"Ginn, J.T.",SL,breaking,126,1.61,1.95,115.6,57
594027,"Guerrero, Tyron",SL,breaking,27,1.35,1.94,115.5,57
676428,"Hurter, Brant",ST,breaking,35,2.29,1.95,115.5,59
656302,"Cease, Dylan",SL,breaking,308,1.72,1.93,115.4,57
696149,"Chandler, Bubba",SL,breaking,188,0.84,1.93,115.4,57
547179,"Lorenzen, Michael",CU,breaking,90,1.13,1.93,115.3,58
622088,"Antone, Tejay",ST,breaking,137,1.67,1.92,115.2,59
669461,"Liberatore, Matthew",CU,breaking,91,1.47,1.92,115.2,58
685005,"Roa, Christian",SL,breaking,25,0.87,1.92,115.2,56
681895,"Sisk, Evan",CU,breaking,60,1.63,1.91,115.1,57
666142,"Ragans, Cole",CH,offspeed,52,1.64,1.9,115,72
687396,"Headrick, Brent",SL,breaking,138,3.47,1.9,115,56
694346,"Gibson, Trey",SL,breaking,70,1.24,1.91,115,56
643377,"Jax, Griffin",ST,breaking,137,1.42,1.89,114.9,58
667463,"King, John",SL,breaking,48,0.58,1.9,114.9,56
690997,"McLean, Nolan",CU,breaking,134,0.98,1.9,114.9,57
694918,"Tidwell, Blade",ST,breaking,34,1.92,1.9,114.9,58
656288,"Canning, Griffin",SL,breaking,119,1.29,1.89,114.8,56
656464,"Ginkel, Kevin",SL,breaking,169,1.98,1.89,114.8,56
670970,"Morejon, Adrian",CH,offspeed,113,1.36,1.89,114.8,71
675911,"Strider, Spencer",CU,breaking,33,1.17,1.89,114.8,57
656302,"Cease, Dylan",KC,breaking,46,2.03,1.88,114.7,51
657514,"Bernardino, Brennan",CU,breaking,87,1.47,1.88,114.7,57
663992,"Lovelady, Richard",ST,breaking,104,1.05,1.88,114.7,58
681293,"Arrighetti, Spencer",CU,breaking,187,1.44,1.88,114.7,57
801403,"Dollander, Chase",SL,breaking,47,1.7,1.88,114.7,56
807743,"Sullivan, Sean",ST,breaking,30,0.08,1.88,114.7,58
687223,"Palmquist, Carson",ST,breaking,69,2.08,1.87,114.6,58
687570,"Prielipp, Connor",SL,breaking,175,1.03,1.87,114.6,56
608718,"Suter, Brent",CH,offspeed,154,1.85,1.87,114.5,71
667297,"Nance, Tommy",SL,breaking,125,1.49,1.87,114.5,56
669302,"Gilbert, Logan",CU,breaking,77,2.34,1.87,114.5,57
682243,"Miller, Bryce",FS,offspeed,137,1.14,1.87,114.5,59
807743,"Sullivan, Sean",CH,offspeed,35,1.38,1.87,114.5,71
683004,"Leiter, Jack",SL,breaking,117,1.98,1.86,114.4,56
640455,"Manaea, Sean",ST,breaking,237,1.72,1.85,114.3,57
681035,"Scott, Christian",CU,breaking,43,0.75,1.85,114.3,56
687931,"Whisenhunt, Carson",SL,breaking,31,1.15,1.85,114.3,55
695505,"Burns, Chase",SL,breaking,351,2.71,1.85,114.3,55
622554,"Domínguez, Seranthony",ST,breaking,86,2.35,1.84,114.2,57
571578,"Corbin, Patrick",CH,offspeed,103,1.24,1.83,114.1,70
678022,"Perkins, Jack",ST,breaking,146,1.76,1.84,114.1,57
663460,"Bubic, Kris",SL,breaking,30,1.7,1.83,114,55
665152,"Kremer, Dean",FS,offspeed,93,1.86,1.82,114,59
681911,"Vesia, Alex",CH,offspeed,46,3.19,1.83,114,70
605488,"Springs, Jeffrey",CH,offspeed,221,1.74,1.82,113.9,69
645261,"Alcantara, Sandy",SL,breaking,69,1.05,1.82,113.9,55
665622,"Medina, Luis",SL,breaking,53,2.09,1.82,113.9,55
669199,"Bachar, Lake",CU,breaking,51,2.58,1.82,113.9,56
800311,"Fuentes, Didier",SL,breaking,90,2.39,1.82,113.9,55
672335,"Pérez, Cionel",SV,breaking,98,1.48,1.81,113.8,59
689296,"Nunez, Anthony",ST,breaking,96,3.36,1.82,113.8,57
660853,"De Los Santos, Enyel",SL,breaking,102,1.5,1.8,113.7,55
669022,"Gore, MacKenzie",CU,breaking,177,1.73,1.8,113.7,56
664991,"Wolfram, Grant",CU,breaking,43,1.13,1.8,113.6,56
680570,"Rodriguez, Grayson",SL,breaking,45,1.3,1.8,113.6,55
681293,"Arrighetti, Spencer",ST,breaking,84,1.27,1.79,113.6,56
642232,"Yarbrough, Ryan",ST,breaking,62,1.52,1.79,113.5,56
642547,"Peralta, Freddy",SL,breaking,38,1.87,1.79,113.5,54
669387,"Mlodzinski, Carmen",CU,breaking,75,0.58,1.78,113.5,55
608566,"Márquez, Germán",SL,breaking,52,1.22,1.78,113.4,54
694346,"Gibson, Trey",CU,breaking,30,0.96,1.78,113.4,55
518886,"Kimbrel, Craig",ST,breaking,42,2.63,1.77,113.3,56
669456,"Bieber, Shane",KC,breaking,48,1.94,1.77,113.3,50
702070,"Cameron, Noah",CH,offspeed,193,1.48,1.77,113.3,68
694973,"Skenes, Paul",SL,breaking,69,1.04,1.76,113.2,54
657746,"Ryan, Joe",ST,breaking,141,1.58,1.75,113.1,56
665795,"Cabrera, Edward",SL,breaking,67,1.95,1.76,113.1,54
697812,"Rock, Joe",SL,breaking,36,1.58,1.75,113.1,54
666661,"Morillo, Juan",SL,breaking,39,3.58,1.75,113,54
702021,"Dion, Will",CU,breaking,30,0.1,1.75,113,55
808967,"Yamamoto, Yoshinobu",SL,breaking,71,1.68,1.75,112.9,54
820862,"Fermin, José",SL,breaking,174,1.57,1.74,112.9,54
642397,"Soto, Gregory",ST,breaking,65,3.32,1.73,112.8,55
669467,"Pallante, Andre",KC,breaking,109,1.84,1.73,112.8,50
678606,"Ferrer, José A.",CH,offspeed,55,1.43,1.74,112.8,67
693686,"Miles, Spencer",SL,breaking,85,0.49,1.74,112.8,54
837227,"Imai, Tatsuya",SL,breaking,269,1.47,1.73,112.8,54
623474,"Herget, Jimmy",ST,breaking,87,0.97,1.73,112.7,55
671737,"Bradley, Taj",CU,breaking,61,1.94,1.72,112.7,54
672282,"Detmers, Reid",CH,offspeed,93,1.41,1.73,112.7,67
808963,"Sasaki, Roki",SL,breaking,157,2.14,1.73,112.7,53
670970,"Morejon, Adrian",SL,breaking,63,0.97,1.71,112.6,53
677944,"Cecconi, Slade",SL,breaking,46,1.61,1.72,112.6,53
679775,"Backhus, Kyle",ST,breaking,45,2.54,1.72,112.6,55
669302,"Gilbert, Logan",SL,breaking,246,1.44,1.71,112.5,53
677961,"Wilcox, Cole",ST,breaking,48,0.99,1.71,112.5,55
693821,"Elder, Bryce",SL,breaking,231,1.14,1.71,112.5,53
663542,"Hudson, Bryan",ST,breaking,83,0.87,1.7,112.4,55
686751,"Johnson, Seth",SL,breaking,42,0.97,1.7,112.4,53
681916,"Smith, Dylan",ST,breaking,58,1.17,1.69,112.3,54
808963,"Sasaki, Roki",FO,offspeed,66,1.57,1.7,112.3,43
607536,"Freeland, Kyle",ST,breaking,102,1.04,1.69,112.2,54
669022,"Gore, MacKenzie",SL,breaking,99,0.59,1.69,112.2,53
677960,"Weathers, Ryan",ST,breaking,117,2.44,1.69,112.2,54
689818,"Sandlin, David",CU,breaking,40,2.09,1.68,112.2,54
813349,"Early, Connelly",CU,breaking,68,0.89,1.69,112.2,54
605135,"Bassitt, Chris",ST,breaking,27,1.61,1.68,112.1,54
681982,"Anderson, Grant",ST,breaking,118,2.18,1.68,112.1,54
682052,"Lopez, Jacob",SL,breaking,193,1.25,1.68,112.1,53
671212,"Boyle, Joe",SL,breaking,36,0.78,1.67,112,53
676979,"Crochet, Garrett",ST,breaking,36,1.31,1.67,112,54
679883,"Avila, Luinder",CU,breaking,74,0.61,1.67,112,53
668984,"Legumina, Casey",ST,breaking,48,1.24,1.67,111.9,54
687531,"Kempner, William",ST,breaking,27,1.45,1.67,111.9,54
700712,"Ureña, Walbert",ST,breaking,83,1.91,1.67,111.9,54
701656,"Henderson, Logan",CH,offspeed,117,1.66,1.66,111.9,65
663556,"McClanahan, Shane",CH,offspeed,225,1.7,1.66,111.8,65
681217,"Silseth, Chase",ST,breaking,55,2.24,1.66,111.8,54
554430,"Wheeler, Zack",ST,breaking,84,2.69,1.65,111.7,54
571510,"Boyd, Matthew",SL,breaking,67,2.35,1.65,111.7,52
669947,"Scholtens, Jesse",FS,offspeed,35,0.35,1.65,111.7,56
571927,"Matz, Steven",SL,breaking,50,0.63,1.64,111.6,52
667297,"Nance, Tommy",CU,breaking,93,1.23,1.64,111.6,53
678606,"Ferrer, José A.",SL,breaking,38,1.46,1.64,111.6,52
682120,"Herrin, Tim",CU,breaking,65,3.12,1.64,111.6,53
607259,"Martinez, Nick",CH,offspeed,220,2.15,1.62,111.3,64
683175,"Phillips, Connor",ST,breaking,117,2.73,1.62,111.3,53
663978,"Paddack, Chris",ST,breaking,34,0.79,1.61,111.2,53
691587,"Pérez, Eury",CU,breaking,37,1.27,1.61,111.2,52
472610,"García, Luis",ST,breaking,30,3.76,1.6,111.1,53
683742,"Franco, Jose",SL,breaking,64,1.75,1.6,111.1,52
622554,"Domínguez, Seranthony",FS,offspeed,35,4.38,1.6,111,55
669920,"Alexander, Jason",CH,offspeed,49,1.11,1.59,111,63
608331,"Fried, Max",CH,offspeed,65,0.98,1.59,110.9,63
640448,"Finnegan, Kyle",SL,breaking,54,1.61,1.58,110.9,51
656271,"Burke, Brock",CH,offspeed,69,0.87,1.58,110.9,63
671922,"Smith, Cade",ST,breaking,37,1.42,1.59,110.9,52
685801,"Bigge, Hunter",SL,breaking,57,1.29,1.59,110.9,51
607455,"Banda, Anthony",SL,breaking,110,1.85,1.57,110.8,51
657612,"Hill, Tim",SL,breaking,27,0.39,1.58,110.8,51
571578,"Corbin, Patrick",SL,breaking,169,1.87,1.57,110.7,51
663423,"Thornton, Trent",ST,breaking,33,0.66,1.57,110.7,52
663574,"Santillan, Tony",SV,breaking,55,2.19,1.57,110.7,55
664141,"Brubaker, JT",SL,breaking,101,1.6,1.57,110.7,51
666171,"Zeferjahn, Ryan",ST,breaking,157,1.45,1.57,110.7,52
676742,"Sanders, Cam",SL,breaking,51,2.36,1.57,110.7,51
687377,"Ribalta, Orlando",SL,breaking,115,1.14,1.56,110.6,51
700669,"Graceffo, Gordon",SL,breaking,112,0.82,1.56,110.6,51
701542,"Warren, Will",CU,breaking,28,1.92,1.57,110.6,52
605400,"Nola, Aaron",KC,breaking,341,1.63,1.55,110.5,47
656427,"Flaherty, Jack",KC,breaking,139,1.63,1.55,110.5,47
608331,"Fried, Max",CU,breaking,46,0.93,1.55,110.4,51
663372,"Feltner, Ryan",ST,breaking,60,1.4,1.55,110.4,52
664076,"Cleavinger, Garrett",ST,breaking,41,3.2,1.55,110.4,52
670059,"Holderman, Colin",ST,breaking,90,2.21,1.55,110.4,52
671936,"Macko, Adam",SL,breaking,82,1.93,1.54,110.4,51
695534,"Petty, Chase",ST,breaking,36,2.52,1.55,110.4,52
641816,"Mahle, Tyler",SL,breaking,55,0.99,1.54,110.3,51
641927,"Ober, Bailey",ST,breaking,70,3.01,1.54,110.3,51
656302,"Cease, Dylan",ST,breaking,26,1.42,1.54,110.3,51
663460,"Bubic, Kris",ST,breaking,52,0.72,1.54,110.3,51
675660,"Drohan, Shane",SL,breaking,134,1.51,1.54,110.3,51
686613,"Brown, Hunter",KC,breaking,72,1.38,1.54,110.3,47
663372,"Feltner, Ryan",CU,breaking,31,0.62,1.53,110.2,51
680744,"Madden, Ty",SL,breaking,46,1.67,1.53,110.2,50
699134,"Rodriguez, Bradgley",CH,offspeed,176,1.33,1.53,110.2,62
805299,"Garcia, Brandyn",ST,breaking,50,3.09,1.53,110.2,51
663687,"Harris, Hogan",CU,breaking,90,1.43,1.53,110.1,51
687064,"Young, Brandon",FS,offspeed,147,0.9,1.53,110.1,54
806188,"Gibson, Cade",CU,breaking,45,0.94,1.52,110.1,51
656848,"Petersen, Michael",CH,offspeed,33,0.49,1.51,110,61
664875,"Lawrence, Justin",ST,breaking,96,3.25,1.52,110,51
696062,"Dotel, Wilber",SL,breaking,44,1.92,1.51,110,50
808967,"Yamamoto, Yoshinobu",CU,breaking,101,1.14,1.52,110,51
621112,"Blackburn, Paul",ST,breaking,28,0.61,1.51,109.9,51
679883,"Avila, Luinder",SL,breaking,102,1.37,1.51,109.9,50
680730,"Parker, Mitchell",CU,breaking,41,2.62,1.51,109.9,51
592791,"Taillon, Jameson",ST,breaking,123,1.38,1.5,109.8,51
699823,"Davis, Tyler",SL,breaking,61,1.18,1.5,109.8,50
607074,"Rodón, Carlos",CH,offspeed,66,2.02,1.49,109.7,61
656641,"Latz, Jacob",CH,offspeed,68,1.37,1.5,109.7,61
670280,"Bednar, David",CU,breaking,61,3.34,1.5,109.7,50
680732,"Burke, Sean",SL,breaking,176,1.46,1.5,109.7,50
693433,"Woo, Bryan",ST,breaking,116,1.94,1.49,109.7,51
607481,"Bummer, Aaron",CU,breaking,32,0.71,1.48,109.6,50
621074,"Rucker, Michael",CU,breaking,48,1.6,1.48,109.6,50
645261,"Alcantara, Sandy",CU,breaking,32,0.29,1.48,109.6,50
660604,"Rangel, Alan",SL,breaking,31,1.63,1.48,109.6,50
663558,"Morán, Jovani",CH,offspeed,114,2.86,1.48,109.6,60
663969,"Phillips, Tyler",ST,breaking,120,1.81,1.48,109.6,50
669199,"Bachar, Lake",FS,offspeed,43,3.14,1.48,109.6,53
607074,"Rodón, Carlos",SL,breaking,92,1.54,1.48,109.5,50
622491,"Castillo, Luis",SL,breaking,226,0.98,1.48,109.5,50
677944,"Cecconi, Slade",ST,breaking,31,2.53,1.48,109.5,50
669199,"Bachar, Lake",SL,breaking,79,1.91,1.47,109.4,50
686753,"Jameson, Drey",SL,breaking,43,2.24,1.47,109.4,50
689147,"Kerkering, Orion",ST,breaking,134,1.11,1.47,109.4,50
800048,"Messick, Parker",CH,offspeed,243,1.23,1.47,109.4,60
605288,"Houser, Adrian",CU,breaking,33,0.58,1.46,109.3,50
671096,"Abbott, Andrew",ST,breaking,209,1.71,1.46,109.3,50
677161,"Kelly, Zack",ST,breaking,28,1.16,1.46,109.3,50
677955,"Hill, Jaden",CH,offspeed,45,1.89,1.47,109.3,60
684049,"Bidois, Brandan",SL,breaking,57,2.3,1.46,109.3,49
672782,"Gómez, Yoendrys",ST,breaking,88,1.33,1.45,109.2,50
676477,"Whitlock, Garrett",CH,offspeed,58,1.35,1.46,109.2,60
543135,"Eovaldi, Nathan",CU,breaking,195,2.37,1.45,109.1,50
592791,"Taillon, Jameson",CU,breaking,43,0.62,1.44,109.1,50
641835,"Mayza, Tim",SL,breaking,103,1.02,1.45,109.1,49
668909,"Williams, Gavin",CU,breaking,209,0.98,1.45,109.1,50
670329,"Garcia, Rico",SL,breaking,68,1.08,1.45,109.1,49
678394,"Bello, Brayan",ST,breaking,75,1.4,1.45,109.1,50
592773,"Stanek, Ryne",FS,offspeed,57,1.17,1.44,109,53
607625,"Lugo, Seth",CS,breaking,25,1,1.44,109,
668881,"Greene, Hunter",SL,breaking,69,2.65,1.44,109,49
672456,"Montero, Keider",KC,breaking,109,0.65,1.44,109,46
681517,"Leahy, Kyle",ST,breaking,105,1.26,1.44,109,50
684974,"Yoho, Craig",CH,offspeed,76,1.48,1.44,109,59
695505,"Burns, Chase",CH,offspeed,41,1.2,1.44,109,59
547179,"Lorenzen, Michael",ST,breaking,55,1.66,1.43,108.9,49
547973,"Chapman, Aroldis",FS,offspeed,38,1.64,1.43,108.9,53
592662,"Ray, Robbie",KC,breaking,92,2.18,1.43,108.9,46
642528,"Loáisiga, Jonathan",CU,breaking,47,0.5,1.44,108.9,49
656876,"Rasmussen, Drew",ST,breaking,25,0.08,1.43,108.9,49
657044,"Thompson, Ryan",SL,breaking,103,2.07,1.43,108.9,49
664076,"Cleavinger, Garrett",SL,breaking,120,0.81,1.43,108.9,49
666200,"Luzardo, Jesús",CH,offspeed,221,1.54,1.43,108.9,59
681895,"Sisk, Evan",ST,breaking,47,2.18,1.43,108.9,49
686930,"Barnett, Mason",ST,breaking,43,0.54,1.43,108.9,49
543037,"Cole, Gerrit",CH,offspeed,76,0.81,1.43,108.8,59
656492,"Griffin, Foster",CH,offspeed,87,1.43,1.42,108.8,59
664208,"Maton, Phil",CU,breaking,79,1.35,1.42,108.8,49
676755,"Mattson, Isaac",SL,breaking,42,0.46,1.42,108.8,49
695418,"Lord, Brad",ST,breaking,61,0.63,1.43,108.8,49
806960,"Morales, Luis",SL,breaking,39,3.38,1.42,108.8,49
594798,"deGrom, Jacob",SL,breaking,339,1.35,1.42,108.7,49
